master,pair,station,lagtime,coefficient,phase,ttmaster,ttpair,dt
415,527,NIL03,0.183188455,0.576826072,P,2.03,2.08,0.05
415,527,NIL03,-0.063957085,0.570739879,S,2.19,2.32,0.13
415,527,NIL08,0.053888622,0.45305,S,2.52,2.49,-0.03
415,527,NIL08,0.026457078,0.872132883,P,3.46,3.71,0.25
415,527,SIL03,0.018793005,0.873049198,P,2.28,2.28,0
415,527,NIL04,0.060295196,0.428923478,P,2.24,2.35,0.11
415,476,NIL06,-0.002933466,0.664931287,S,2.17,2.19,0.02
415,476,NIL06,0.020415712,0.637856794,P,3.69,3.82,0.13
415,476,NIL03,-0.07116899,0.466282401,S,2.35,2.31,-0.04
415,476,NIL03,-0.044880456,0.495011888,P,2.03,2.08,0.05
415,476,NIL09,-0.005405388,0.819644898,P,2.19,2.32,0.13
415,476,NIL08,0.056141448,0.802070536,P,2.52,2.49,-0.03
415,476,NIL08,-0.110327226,0.654465502,S,3.46,3.71,0.25
415,476,SIL03,0.078157846,0.914411455,P,2.28,2.28,0
415,476,NIL04,0.010697907,0.608721493,P,2.24,2.35,0.11
415,476,NIL04,-0.112265116,0.520790158,S,2.9,2.65,-0.25
415,474,NIL06,0.042537238,0.664584624,P,2.17,2.19,0.02
415,474,NIL09,0.025039646,0.907774859,P,3.69,3.82,0.13
415,474,NIL03,-0.107553226,0.546846791,S,2.35,2.31,-0.04
415,474,NIL03,-0.036892941,0.579797445,P,2.03,2.08,0.05
415,474,NIL08,0.021264095,0.912701864,P,2.19,2.32,0.13
415,474,NIL08,-0.09037604,0.596347164,S,2.52,2.49,-0.03
415,474,SIL03,0.038934161,0.86953029,P,3.46,3.71,0.25
415,474,NIL04,0.052286822,0.628709648,P,2.28,2.28,0
415,474,NIL04,-0.164355834,0.552841331,S,2.24,2.35,0.11
415,482,NIL06,0.132032186,0.412532469,P,2.17,2.19,0.02
415,482,NIL06,0.018637632,0.904701175,S,3.69,3.82,0.13
415,482,NIL09,-0.002141179,0.845898838,P,2.35,2.31,-0.04
415,482,NIL03,0.051411814,0.455386546,P,2.03,2.08,0.05
415,482,NIL03,-0.043655209,0.598032651,S,2.19,2.32,0.13
415,482,NIL08,-0.013687226,0.580622961,S,2.52,2.49,-0.03
415,482,NIL08,0.048015271,0.769865671,P,3.46,3.71,0.25
415,482,SIL03,0.001571312,0.623917469,P,2.28,2.28,0
415,530,NIL06,-0.132963988,0.509089803,P,2.17,2.19,0.02
415,530,NIL06,-0.032092564,0.721355306,S,3.69,3.82,0.13
415,530,NIL09,0.005426118,0.769389689,P,2.35,2.31,-0.04
415,530,NIL03,0.011766772,0.52130633,P,2.03,2.08,0.05
415,530,NIL03,-0.094110348,0.349215726,S,2.19,2.32,0.13
415,530,NIL08,0.031312492,0.826013296,P,2.52,2.49,-0.03
415,530,NIL08,0.00863478,0.549651463,S,3.46,3.71,0.25
415,530,NIL04,0.035062377,0.428564227,P,2.28,2.28,0
415,530,NIL04,-0.004946817,0.554017483,S,2.24,2.35,0.11
415,455,NIL06,0.015317699,0.725665837,P,2.17,2.19,0.02
